4046	@@14767805	we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .	hopeless	us	201	236	Hun situatie in perspectief plaatsen	Authority_voice	2
4046	@@14767805	we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .	hopeless	us	240	274	Help hen te communiceren met anderen.	Unbalanced_power_relations	2
4046	@@14767805	we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .	hopeless	us	274	300	Wie zou er steun kunnen verlenen?	Unbalanced_power_relations	1
4046	@@14767805	we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .	hopeless	us	384	434	Plannen voor hun behoeften en de behoeften van hun kind	Authority_voice	2
4046	@@14767805	we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .	hopeless	us	0	35	We weten ook dat ze kunnen profiteren	Unbalanced_power_relations	1
4046	@@14767805	we also know that they can benefit by receiving counseling from someone who can help them understand that their feelings are normal and that their situation is not hopeless ; someone who can help them put their situation in perspective and help them communicate with others who could provide support ; someone knowledgeable about resources they can access ; someone who can help them plan for their needs and the needs of their child by developing either a parenting plan or an adoption plan .	hopeless	us	302	356	Iemand die kennis heeft over de middelen die hij kan gebruiken.	Unbalanced_power_relations	1
1279	@@7896098	pope francis washed and kissed the feet of muslim , orthodox , hindu and catholic refugees in a moving ceremony during holy thursday mass at a refugee centre on the outskirts of rome . ( march 24 )	refugee	ng	13	158	Waste en kuste de voeten van moslim, orthodoxe, hindoeïstische en katholieke vluchtelingen tijdens een ontroerende ceremonie tijdens de Heilige Donderdagmis in een vluchtelingencentrum	Shallow_solution	2
8330	@@17252299	many refugees do n't want to be resettled anywhere , let alone in the us .	refugee	ng	0	73	Veel vluchtelingen willen nergens worden hervestigd, laat staan in de VS	Presupposition	2
4063	@@3002894	"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives ."""	in-need	ie	122	160	Hij heeft een helpende hand nodig.	Compassion	2
4063	@@3002894	"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives ."""	in-need	ie	145	160	een helpende hand	Metaphors	1
4063	@@3002894	"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives ."""	in-need	ie	145	209	een helpende hand om hen in staat te stellen hun verbrijzelde levens te herbouwen	Unbalanced_power_relations	1
4063	@@3002894	"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives ."""	in-need	ie	163	209	Ze kunnen hun verbrijzelde leven herbouwen.	Compassion	2
4063	@@3002894	"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives ."""	in-need	ie	178	209	Hun verbrijzelde levens herbouwen	Metaphors	1
4063	@@3002894	"""budding chefs , like """" fred """" , """" winston """" and """" angela """" in the kitchen are either homeless or recently re-housed - and desperately in need of a helping hand to enable them to re-build their shattered lives ."""	in-need	ie	122	209	wanhopig in nood van een helpende hand om hen in staat te stellen hun verbrijzelde leven te herbouwen	Authority_voice	1
4089	@@25597822	"""in a 90-degree view of his constituency , one can see a high rise and a flyover while underneath it , homeless people sleep on pavements . """" as you can see , my constituency is not confined to one socio-economic group , """" he said , adding that apart from water , another major concern for him is to improve the standard of public schools in the area ."""	homeless	pk	42	137	Iemand kan een hoge stijging en een flyover zien terwijl eronder, daklozen slapen op stoepjes	Unbalanced_power_relations	2
4089	@@25597822	"""in a 90-degree view of his constituency , one can see a high rise and a flyover while underneath it , homeless people sleep on pavements . """" as you can see , my constituency is not confined to one socio-economic group , """" he said , adding that apart from water , another major concern for him is to improve the standard of public schools in the area ."""	homeless	pk	141	218	Zoals u kunt zien, is mijn kiesdistrict niet beperkt tot één sociaal-economische groep.	Unbalanced_power_relations	1
432	@@15802146	he depicts demonstrations by refugees at the border post , their catastrophic living conditions and the desperate attempt of several hundred to cross a river a few kilometres from the camp to get into macedonia on 14 march 2016 .	refugee	nz	59	96	Hun catastrofale levensomstandigheden	Compassion	2
432	@@15802146	he depicts demonstrations by refugees at the border post , their catastrophic living conditions and the desperate attempt of several hundred to cross a river a few kilometres from the camp to get into macedonia on 14 march 2016 .	refugee	nz	100	122	De wanhopige poging.	Compassion	2
4177	@@930041	the word of god is truth that 's living and able to penetrate human souls ( heb. 4:12 ) . consider how powerful scripture is : it can change hearts , save lives from eternal condemnation , and give hope to the hopeless .	hopeless	us	193	219	Geef hoop aan de hopelozen	Unbalanced_power_relations	2
4177	@@930041	the word of god is truth that 's living and able to penetrate human souls ( heb. 4:12 ) . consider how powerful scripture is : it can change hearts , save lives from eternal condemnation , and give hope to the hopeless .	hopeless	us	193	219	Geef hoop aan de hopelozen	Compassion	1
3963	@@18867357	chantelle owens , mrs planet 2016 , hosted the day and the ladies had the chance to share their compassion for those in need .	in-need	za	55	125	de dames hadden de kans om hun mededogen te delen voor degenen in nood	Unbalanced_power_relations	2
3963	@@18867357	chantelle owens , mrs planet 2016 , hosted the day and the ladies had the chance to share their compassion for those in need .	in-need	za	81	125	... om hun mededogen te delen voor mensen in nood.	Shallow_solution	2
3963	@@18867357	chantelle owens , mrs planet 2016 , hosted the day and the ladies had the chance to share their compassion for those in need .	in-need	za	90	125	Hun mededogen voor degenen in nood	Compassion	1
2001	@@14012804	t is remiss not to mention here that not all scavenging children come from poor families . children hailing from affluent families use dumpsites as playgrounds .	poor-families	tz	37	89	Niet alle aaseters komen uit arme gezinnen.	Presupposition	1
369	@@15636898	""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """""""	women	ie	2	36	Mensen begrijpen de pijn niet.	Presupposition	1
369	@@15636898	""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """""""	women	ie	38	72	Mensen begrijpen de pijn niet.	Presupposition	1
369	@@15636898	""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """""""	women	ie	91	134	Vrouwen met hun kinderen slapen in auto's	Compassion	2
369	@@15636898	""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """""""	women	ie	261	280	Dan is er hoop.	Compassion	1
369	@@15636898	""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """""""	women	ie	181	280	Als ze geluk hebben en ze komen COPE Galway en de dames in Osterley tegen, dan is er hoop	Unbalanced_power_relations	2
369	@@15636898	""""""" people do n't understand the hurt , people do n't understand the pain . i 've read about women with their children sleeping in cars , sleeping in hotel rooms and it 's criminal . if they 're lucky and they come across cope galway and the ladies in osterley , then there 's hope . """""""	women	ie	2	280	Mensen begrijpen de pijn niet, mensen begrijpen de pijn niet. Ik heb gelezen over vrouwen met hun kinderen slapen in auto's, slapen in hotelkamers en het is crimineel. Als ze 'gelukkig en ze komen COPE Galway en de dames in Osterley, dan is er's hoop	Authority_voice	1
