1	@@24942188	hopeless	ph	['vivimos en tiempos de locura absoluta, como estoy bastante seguro de que la mayoría de la gente es consciente. durante un tiempo, despertarse todos los días para comprobar las noticias parecía llevar con él el mismo sentimiento de pánico y temor que los héroes de acción probablemente se enfrentan cuando están tratando de decidir si cortar el cable azul o verde en una bomba de ticking -- excepto las instrucciones de la bomba hace mucho tiempo quemadas en un incendio y catástrofe inminente parece el resultado más probable. es difícil mantener que en la vanguardia por ese largo, aunque, por lo que es natural que la gente se insure a este caos constante, para caer en un malestar de desesperanza y pesimismo.']	0
2	@@21968160	migrant	gh	['en libya hoy, hay un número innumerable de inmigrantes ghanas y nigerianos. estos son los dos países con retos macroeconómicos clave incluyendo el desempleo. vamos a abordar este tema desde la raíz y no el fruto. gracias']	0
3	@@16584954	immigrant	ie	"""""""""""""""""""""""""""""""['""""""""""""""""""""""""""""""""el secretario de prensa de la casa blanca, sean spicer, dijo que el foco de las acciones de inmigración serían los inmigrantes ilegales que también han violado nuestras leyes"""""""""""""""""""""""""""""""".']"""""""""""""""""""""""""""""""	0
4	@@7811231	disabled	nz	['los clientes del consejo sólo se mostrarían señales. dos de los espacios se reservarían para las personas con discapacidad y habría cinco espacios p30 y ocho p60.']	0
5	@@1494111	refugee	ca	"""""""""""""""""""""""""""""""['"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" al igual que recibimos migrantes huyendo de el salvador y guatemala en los años 80 y 90, al igual que hemos visto miles de refugiados económicos, empezamos a ver mexicanos huyendo de la violencia en ju? rez y otras partes de méxico,"""""""""""""""""""""""""""""""" dice el director de refugio ruben garcia.""""""""""""""""""""""""""""""""']"""""""""""""""""""""""""""""""	0
6	@@9382277	in-need	in	['para reducir los niveles elevados de azúcar en sangre, la insulina necesita ser tomada. si usted es el tipo que necesita insulina durante el tiempo de comida, usted tendrá que tomar dosis correctas de insulina con el fin de bajar su glucosa en sangre. la decisión debe tomarse sobre cuándo inyectarla y cuántas veces inyectar. para esto, usted tiene que tomar la ayuda de un profesional de la salud.']	0
7	@@7562079	refugee	za	['la unión europea está cometiendo un error histórico en su apresuramiento a concluir un acuerdo de refugiados con pavo, pasando por alto las violaciones de los derechos humanos que corren el riesgo de extinguir el mayor candidato de miembros del bloque en la guerra civil, dijo selahattin demirtas, líder del partido pro-kurdish más prominente de la nación.']	0
8	@@23663488	hopeless	nz	"""""""""""""""""""""""""""""""['"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" o son desesperados por ser golpeados por un niño de 10 años, o si lo golpean, son un gran matón. ese es el chiste. en realidad él tiene un gran juego. """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""']"""""""""""""""""""""""""""""""	0
9	@@3449225	homeless	ph	['nueva era, ilocos norte - ninguna familia estará sin hogar bajo la vigilancia del gobierno municipal aquí, dijo el alcalde de la ciudad aldrin garvida.']	1
10	@@2485090	in-need	nz	['su portavoz dijo que el kremlin necesitaba más información sobre la decisión de los rebeldes. también dijo que la declaración de los rebeldes vino sólo después de que el gobierno respaldado por el oeste en kiev había declarado que seguiría adelante con su operación militar, lo que implica que ucrania era la culpa de la negativa de los rebeldes a escuchar putin.']	0
