1	@@24942188	hopeless	ph	['trăim în vremuri de nebunie absolută, aşa cum sunt destul de sigur că majoritatea oamenilor sunt conştienţi. pentru o vreme, trezindu-ne în fiecare zi pentru a verifica ştirile părea să ducă cu ea acelaşi sentiment de panică şi teamă că eroii de acţiune, probabil, se confruntă atunci când încearcă să decidă dacă să taie firul albastru sau verde pe o bombă ticăie -- cu excepţia instrucţiunilor bombei de mult timp arse într-un incendiu şi catastrofă iminentă pare cel mai probabil rezultat. este greu să rămână că pe-edge pentru atât de mult timp, deşi, astfel încât este natural pentru oameni să se bucure de acest haos constant, să se scufunde într-o stare de rău de lipsă de speranţă şi pesimism.']	0
2	@@21968160	migrant	gh	['în libia de astăzi, există un număr nenumărat de imigranţi ghanaieni şi nigerieni. acestea sunt cele două ţări cu provocări macroeconomice cheie, inclusiv şomajul. hai să abordăm această problemă din rădăcină şi nu din fruct. vă mulţumesc.']	0
3	@@16584954	immigrant	ie	"""""""['""""""""secretarul de presă sean spidr a declarat că acţiunile de imigrare vor fi imigranţi ilegali"""""""" """"""""care au încălcat altfel legile noastre.""""""""']"""""""	0
4	@@7811231	disabled	nz	['trebuie să fie afișate doar semne ale clienților consiliului. două dintre spații ar fi rezervate persoanelor cu handicap și ar fi cinci spații p30 și opt p60.']	0
5	@@1494111	refugee	ca	"""""""['""""""""""""""""la fel cum am primit emigranţi fugind de el salvador şi guatemala în anii \'80 şi \'90, la fel cum am văzut mii de refugiaţi economici, am început să vedem mexicani fugind de violenţă în ju? rez şi alte părţi ale mexicului,"""""""" spune directorul adăpostului ruben garcia.""""""""']"""""""	0
6	@@9382277	in-need	in	['pentru a scădea valorile crescute ale glicemiei, trebuie luată insulina. dacă sunteţi tipul care necesită insulină în timpul mesei, va trebui să luaţi doze corecte de insulină pentru a reduce glicemia. trebuie luată decizia când trebuie injectată şi de câte ori trebuie să vă injectaţi insulina. pentru aceasta, trebuie să luaţi ajutorul unui profesionist din domeniul sănătăţii.']	0
7	@@7562079	refugee	za	"""""""['""""""""uniunea europeană face o greşeală istorică în graba de a încheia un acord de refugiaţi cu curcanul, uitând de încălcările drepturilor omului care riscă să înfunde cel mai mare candidat de aderare al blocului în războiul civil,"""""""" a declarat selahattin demirtas, liderul partidului pro-kurd cel mai proeminent al naţiunii.']"""""""	0
8	@@23663488	hopeless	nz	['ori sunt fără speranţă pentru că au fost bătuţi de un copil de 10 ani, ori dacă l-au bătut, sunt un mare bătăuş. asta e gluma. în realitate are un joc grozav.']	0
9	@@3449225	homeless	ph	['nueva era, ilocos norte - nici o familie nu va fi fara adapost sub paza guvernului municipal aici, a declarat primarul orasului aldrin garvida.']	1
10	@@2485090	in-need	nz	['purtătorul său de cuvânt a declarat că kremlinul are nevoie de mai multe informaţii despre decizia rebelilor. de asemenea, el a declarat că declaraţia rebelă a venit doar după ce guvernul vestic din kiev a declarat că va continua cu operaţiunea sa militară, sugerând că ucraina a fost de vină pentru refuzul rebelilor de a da atenţie.']	0
11	@@21290047	migrant	in	['un tribunal federal de apel marţi a eliberat calea pentru un imigrant în vârstă de 17 ani deţinut în custodie în texas pentru a obţine un avort. complet ne instanţa de recurs pentru districtul columbiei circuit a decis 6-3 în favoarea adolescentului. decizia a răsturnat o hotărâre de către un juriu de trei judecători al instanţei care cel puţin temporar a blocat-o de la obţinerea unui avort. administraţia trump ar putea încă apela decizia la instanţa supremă.']	0
12	@@16996915	vulnerable	gb	['trebuie să ne aflăm în această situaţie deoarece oamenii trăiesc mai mult şi mai mulţi factori locali, inclusiv faptul că numărul persoanelor care necesită îngrijire medicală în căminul lor de îngrijire este în creştere, împreună cu creşterea cerinţelor de îngrijire finanţată de consiliu pentru persoanele vulnerabile din cadrul propriilor lor case.']	0
13	@@13499386	women	pk	"""""""['"""""""""""""""""""""""" ghostbusters """""""""""""""" este o înviere a filmului lovit 1984, dar de data aceasta pistele sunt femei, nu bărbați.""""""""']"""""""	0
14	@@14991409	poor-families	my	['în angajamentul guvernului de a proteja grupurile vulnerabile, najib din bugetul 2017 a propus asistență financiară pentru familiile sărace, inclusiv asistență generală până la 300 rm pe lună și asistență pentru copii până la 450 rm pe lună.']	0
15	@@16989969	vulnerable	au	['în cazul în care tatăl meu a murit pe neaşteptate în 2014, el a fost punerea finisaje la viitoarea sa carte, schimbările climatice şi sănătatea naţiunilor. cartea examinează înregistrările istorice şi constată că sănătatea umană este foarte sensibil la schimbările climatice. şi desen pe istorie, el avertizează că impactul schimbărilor climatice -- cum ar fi dezastru de mediu, creşterea temperaturilor, şi nesiguranţă alimentară -- va amplifica boli infecţioase, sub-nutriţie, şi decese legate de căldură, în special în rândul populaţiilor vulnerabile, cum ar fi copiii şi persoanele strămutate forţat.']	0
16	@@23471689	disabled	pk	['în afară de pakistan și gazde anglia, echipa de cricket cu handicap bangladesh va participa, de asemenea, la turneu. <h> shahid afridi pungi 11 om de premii meci în t20is (cel mai mult de orice jucător) <h> ab de villiers saci o pereche pentru prima dată în cariera sa test <h> super bârfă']	0
17	@@8886184	hopeless	sg	['pentru acele câteva secunde, umanitatea este liberă de cătuşele sale şi o singură licărire de speranţă în mijlocul disperării.']	0
18	@@14988344	migrant	in	"""""""['"""""""""""""""""""""""" pace a revenit la assam după atât hindus cât și musulmani au fost de acord să accepte 1971 ca an-limită pentru cetățenie. astăzi, guvernul vrea să împingă statul spre neliniște, """""""""""""""" el a spus la o convenție organizată de krishak mukti sagram samiti. el a îndemnat oamenii care au sosit în assam înainte de 1971 pentru a lansa o mișcare unită și securea planul centrului de a regulariza intrarea imigranților hindu din bangladesh. """"""""']"""""""	0
19	@@21929081	disabled	gh	['începând din 2014, un total de 8000 de persoane cu handicap intelectual din ghana au beneficiat de formare specială pentru a-și consolida integrarea în societate.']	0
20	@@1850827	immigrant	tz	"""""""['""""""""pe scurt, motivele din spatele operaţiunii par rezonabile. problema însă, a fost pe partea de implementare, la fel ca şi cele din spatele ei vorbesc despre succesul său - pe motiv că, la urma urmei, mii de imigranţi ilegali au plecat """""""""""""""" în mod voluntar """""""""""""""" ţărilor lor de origine, în timp ce altele au fost, de asemenea, repatriate, deoarece părăsirea ţării în condiţiile date nu a fost opţională.""""""""']"""""""	0
21	@@4694770	immigrant	jm	['avocatul lui sisi, grisel ybarra, a declarat că comunitatea cubaneză se află în mijlocul negocierilor în curs dintre washington şi havana şi nesiguranţa cu privire la ceea ce vor însemna relaţiile reînnoite pentru imigranţi.']	0
